Year,venue,team1,team2,toss_winner,toss_decision,head to head ratio team1 ,head to head ratio team2,1st iining win,2 nd inning win,winner,,,HISTORICAL TOSS DECISION WIN,
2019,"Rajiv Gandhi International Stadium, Hyderabad",Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,field,,,,,Delhi Capitals,,,,
2019,"Wankhede Stadium, Mumbai",Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,field,,,,,Mumbai Indians,,,,
2019,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,,,,,Kings XI Punjab,,,,
2019,"Rajiv Gandhi International Stadium, Hyderabad",Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,bat,,,,,Sunrisers Hyderabad,,,,
2019,Feroz Shah Kotla,Delhi Capitals,Mumbai Indians,Mumbai Indians,bat,,,,,Mumbai Indians,,,,
2019,"Eden Gardens, Kolkata ",Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,field,,,,,Royal Challengers Bangalore,,,,
2019,Sawai Mansingh Stadium,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,field,,,,,Rajasthan Royals,,,,
2019,Feroz Shah Kotla,Delhi Capitals,Kings XI Punjab,Delhi Capitals,field,,,,,Delhi Capitals,,,,
2019,"Rajiv Gandhi International Stadium, Hyderabad",Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,field,,,,,Sunrisers Hyderabad,,,,
2019,M Chinnaswamy Stadium,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,,,,,Royal Challengers Bangalore,,,,
2019,Sawai Mansingh Stadium,Rajasthan Royals,Delhi Capitals,Delhi Capitals,field,,,,,Delhi Capitals,,,,
2019,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,field,,,,,Chennai Super Kings,,,,
2019,M Chinnaswamy Stadium,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,,,,,Royal Challengers Bangalore,,,,
2019,"Eden Gardens, Kolkata ",Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,,,,,Rajasthan Royals,,,,
2019,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,Mumbai Indians,Chennai Super Kings,field,,,,,Mumbai Indians,,,,
2019,Sawai Mansingh Stadium,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,field,,,,,Rajasthan Royals,,,,
